cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore
,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt
789.0,0.020452568383458714,0.20931188399570322,-0.239273938678135,-0.2597265070615937,0.0,0.020452568383458714,0.02959780011755575,0.22802252774794002,-0.27152395205298846,-0.3011217521705442,0.0,0.02959780011755575
799.0,0.01856634079902153,0.3358852742570701,-0.36862314430045195,-0.3871894850994735,0.0,0.01856634079902153,0.02907823210347299,0.22322046723952602,-0.2650226694223939,-0.2941009015258669,0.0,0.02907823210347299
809.0,0.020873805581214988,0.2224450193340487,-0.2523824163040788,-0.2732562218852938,0.0,0.020873805581214988,0.030239045248836416,0.20788755531686215,-0.24960818452663658,-0.279847229775473,0.0,0.030239045248836416
819.0,0.01815832156522268,0.23312150590762548,-0.26806500416692947,-0.28622332573215215,0.0,0.01815832156522268,0.03031828074113857,0.22501258216970865,-0.2686589624482264,-0.29897724318936497,0.0,0.03031828074113857
829.0,0.020142650598520107,0.21176290834228345,-0.24284584664505393,-0.26298849724357404,0.0,0.020142650598520107,0.031096094532760465,0.23648409881847318,-0.2814850305963465,-0.31258112512910696,0.0,0.031096094532760465
839.0,0.02122171643752241,0.25721654099534474,-0.2880608212305234,-0.3092825376680458,0.0,0.02122171643752241,0.030315952376178512,0.21965467382742426,-0.2631959715627627,-0.2935119239389412,0.0,0.030315952376178512
849.0,0.021254474016589087,0.2503888968850692,-0.2817146053959157,-0.3029690794125048,0.0,0.021254474016589087,0.02970687371822417,0.22457907232366514,-0.2669346200528273,-0.2966414937710515,0.0,0.02970687371822417
859.0,0.021788786095596174,0.1978931389187248,-0.22763094324418198,-0.24941972933977816,0.0,0.021788786095596174,0.029561293916338494,0.23343061868958007,-0.2772122046828132,-0.3067734985991517,0.0,0.029561293916338494
869.0,0.02205616377491354,0.2293980791263867,-0.2603574116122119,-0.2824135753871254,0.0,0.02205616377491354,0.030169105617018743,0.230710707124954,-0.27530334353553404,-0.3054724491525528,0.0,0.030169105617018743
879.0,0.02218410172216262,0.2251457568922298,-0.25607945963181233,-0.27826356135397495,0.0,0.02218410172216262,0.03086555727413781,0.24645203437164204,-0.2920956501641232,-0.322961207438261,0.0,0.03086555727413781
889.0,0.02189798061701881,0.22348597923379807,-0.25463876695046106,-0.27653674756747987,0.0,0.02189798061701881,0.030748690287623837,0.23900205836018446,-0.28472550154584503,-0.31547419183346886,0.0,0.030748690287623837
899.0,0.021202299243943235,0.20352534837092598,-0.23511732487823273,-0.25631962412217596,0.0,0.021202299243943235,0.030446510686836126,0.23563002076619965,-0.2799528600403136,-0.31039937072714974,0.0,0.030446510686836126
909.0,0.020072117468075024,0.27603685571070413,-0.31069884886478494,-0.33077096633285996,0.0,0.020072117468075024,0.030614625639694526,0.23251794522019212,-0.2768190648062824,-0.3074336904459769,0.0,0.030614625639694526
919.0,0.022654629251103953,0.23393039885427774,-0.2651506619689874,-0.28780529122009135,0.0,0.022654629251103953,0.03070090405537651,0.24189904618689484,-0.28757051816799056,-0.3182714222233671,0.0,0.03070090405537651
929.0,0.023239568650196996,0.2650182151808091,-0.2969076508799676,-0.3201472195301646,0.0,0.023239568650196996,0.031106363311254326,0.24485144468313502,-0.29121911791111577,-0.3223254812223701,0.0,0.031106363311254326
939.0,0.020834168845327683,0.23133336126029336,-0.2641064373056883,-0.28494060615101596,0.0,0.020834168845327683,0.03265127123821454,0.23665301002506148,-0.2829050922420863,-0.31555636348030086,0.0,0.03265127123821454
949.0,0.02400831036281184,0.1652980816326519,-0.1952866560464478,-0.21929496640925963,0.0,0.02400831036281184,0.029825444709989324,0.23348574794128032,-0.2771928542732888,-0.30701829898327815,0.0,0.029825444709989324
959.0,0.022990788116123706,0.2002116659505899,-0.23109165436488205,-0.25408244248100575,0.0,0.022990788116123706,0.03126184366750212,0.23516689330468893,-0.2800131216177394,-0.3112749652852415,0.0,0.03126184366750212
