cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
227,0.026021367718104788,0.1109949806659499,-0.11265921426278125,-0.13868058198088604,,,False
229,0.026178996238214597,0.11105554063730694,-0.11303418527882142,-0.13921318151703602,,,False
231,0.026382377536698892,0.12037587182241268,-0.12322111134067262,-0.14960348887737152,,,False
233,0.026431799523212812,0.12615014035087666,-0.12965237772391638,-0.1560841772471292,,,False
235,0.02684153024823968,0.12107751199427075,-0.12503408117810533,-0.151875611426345,,,False
237,0.027429832681704264,0.12231141962047905,-0.12676242262987758,-0.15419225531158184,0.0,0.027429832681704264,True
239,0.027679548523093456,0.1189854432509838,-0.12397160076006006,-0.1516511492831535,,,False
241,0.028146722627401838,0.11754511672037139,-0.12326847940903954,-0.15141520203644138,,,False
243,0.029059142860126536,0.129595828857858,-0.13639100527837353,-0.16545014813850006,,,False
245,0.02943066206468556,0.13584170569280254,-0.14396700826917203,-0.17339767033385758,,,False
247,0.029759961322950224,0.14805006659505818,-0.15746767500472522,-0.18722763632767545,,,False
249,0.02959264844969567,0.15960865878983083,-0.17074847198381582,-0.2003411204335115,,,False
251,0.029613814089390122,0.16253914142498996,-0.17499041657139175,-0.20460423066078187,,,False
253,0.029742890390261373,0.17427278875760746,-0.18821910869675895,-0.21796199908702032,,,False
255,0.02932121514261843,0.1731230547798056,-0.18827313385800115,-0.21759434900061958,,,False
257,0.029321193215180813,0.18611172144647234,-0.20266969197568824,-0.23199088519086905,0.0,0.029321193215180813,True
259,0.028594266462585005,0.1927104625850331,-0.2108629918238087,-0.2394572582863937,,,False
261,0.02848639387934121,0.19092044969566666,-0.20978671869287396,-0.23827311257221517,,,False
263,0.02824958475713102,0.19186004117436362,-0.21161238568215085,-0.23986197043928187,,,False
265,0.028025001531209043,0.19405026781238718,-0.21446569929649023,-0.24249070082769927,,,False
267,0.027959783332736576,0.19777035803795107,-0.21903764987629704,-0.2469974332090336,,,False
269,0.027618082733023047,0.1998639072681694,-0.2219222996349256,-0.24954038236794865,,,False
271,0.027334686849862733,0.19824327962763952,-0.2208457451023979,-0.24818043195226064,,,False
273,0.02723286034490996,0.20313381596849173,-0.22626496125764317,-0.25349782160255313,,,False
275,0.02696874194951665,0.2001213104189034,-0.2234867879409228,-0.25045552989043945,,,False
277,0.02717068642737802,0.20633240315073303,-0.23021869935191458,-0.2573893857792926,0.0,0.02717068642737802,True
279,0.026231755473206886,0.20625823236663002,-0.2308392190593797,-0.2570709745325866,,,False
281,0.026174330263157908,0.20462067669172845,-0.22919674794038586,-0.25537107820354377,,,False
283,0.025062827788519038,0.20856741926244096,-0.2335544821660928,-0.25861730995461185,,,False
285,0.025076218970640912,0.1967586222699596,-0.22153541910433128,-0.2466116380749722,,,False
