global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1649,0,824,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0000013,1.5906508,-0.01168815244961045,0.3180298842372706,0.06191753364435288,3.5631097900121955,,3.5631097900121955
1650,0,825,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091044,1.5999523,-0.1804521006438091,0.2978081926703444,-0.017519952730617117,,-1.0946904782891573,-1.0946904782891573
1651,0,825,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000069,1.5910703,-0.01133299030038021,0.3161625488033,0.061261637225299266,3.566018043449542,,3.566018043449542
1652,0,826,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091101,1.5999601,-0.1799723937031579,0.2963052154941992,-0.017612992152638698,,-1.100053944295606,-1.100053944295606
1653,0,826,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000126,1.5897002,-0.01314896065741777,0.3165166770574821,0.06081230632519601,3.533431033525097,,3.533431033525097
1654,0,827,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091116,1.5999583,-0.1800703633208967,0.2956780254840852,-0.017726286090457073,,-1.106678441146957,-1.106678441146957
1655,0,827,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0000141,1.5896142,-0.01314896065741777,0.3173540297996968,0.06084874273651841,3.525370160801291,,3.525370160801291
1656,0,828,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091116,1.5999615,-0.1799193680426967,0.29534900798039,-0.01776569890903213,,-1.1089470096851346,-1.1089470096851346
1657,0,828,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0000142,1.590659,-0.01160849513405043,0.3160244207998061,0.06119432782314359,3.548758180240458,,3.548758180240458
1658,0,829,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091118,1.59996,-0.1801342313160283,0.2953005704012783,-0.01775444264616859,,-1.1082516677403575,-1.1082516677403575
1659,0,829,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000144,1.5898024,-0.01279067900031805,0.3161051575288211,0.0610552579519602,3.5272041104070206,,3.5272041104070206
1660,0,830,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091138,1.5999619,-0.1795178925118737,0.2939620059590005,-0.0179207761013881,,-1.1178740107815195,-1.1178740107815195
1661,0,830,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,317,317,0,1.0000165,1.5897058,-0.01162876221148865,0.3157899112897884,0.06038049064660384,3.520003180090445,,3.520003180090445
