cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
515,0.017622396620121827,0.1762798657357677,-0.2047223226756495,-0.22234471929577132,,,False
517,0.01729219448681235,0.22728823236663054,-0.25765958095747116,-0.2749517754442835,0.0,0.01729219448681235,True
519,0.017508325272705655,0.16569899570354385,-0.19398597549268448,-0.21149430076539014,,,False
521,0.017348398330946396,0.1748769287504469,-0.20363021318182972,-0.22097861151277612,,,False
523,0.017868021427378006,0.18507934192624345,-0.21357575709577153,-0.23144377852314954,,,False
525,0.01792889481203014,0.18470450984604303,-0.21312336217021627,-0.2310522569822464,,,False
527,0.01786591152106462,0.18579225241675568,-0.21430957285209612,-0.23217548437316074,,,False
529,0.01871244483231893,0.18090932975295315,-0.20851727762551603,-0.22722972245783496,,,False
531,0.017942153764769098,0.1841638188327957,-0.21254905094325616,-0.23049120470802525,,,False
533,0.017216379158610795,0.1609789355531676,-0.18948865744897214,-0.20670503660758294,,,False
535,0.01795169623642437,0.18284990726816966,-0.21123222709856215,-0.22918392333498652,,,False
537,0.01786543406552099,0.18547419763694886,-0.21401012338365993,-0.23187555744918092,0.0,0.01786543406552099,True
539,0.01795976184031514,0.1844670286430354,-0.21289088514994764,-0.23085064699026278,,,False
541,0.017197689088196688,0.16623895273898967,-0.1948652632093334,-0.21206295229753008,,,False
543,0.017761075123523123,0.18386222627998522,-0.21242354924858814,-0.23018462437211126,,,False
545,0.018316504603771377,0.16168243788041475,-0.18896493565211325,-0.20728144025588463,,,False
547,0.018449236506146383,0.17442548227712093,-0.20198764783920897,-0.22043688434535536,,,False
549,0.0179527168224132,0.18388695345506575,-0.21224582860612412,-0.23019854542853732,,,False
551,0.018366961396944853,0.1800480032223408,-0.20782944923918922,-0.22619641063613408,,,False
553,0.017962283616780123,0.18855057823129187,-0.2169854233708156,-0.23494770698759573,,,False
555,0.018307129016589152,0.16363406015037546,-0.19106739362648711,-0.20937452264307627,,,False
557,0.01827220113438363,0.19502365556748946,-0.22347169104268455,-0.24174389217706818,0.0,0.01827220113438363,True
559,0.017922053924692732,0.1856955925528098,-0.21415072062274892,-0.23207277454744166,,,False
561,0.017951815515574704,0.18494258718224077,-0.213345246736167,-0.2312970622517417,,,False
563,0.017799135538250466,0.1909200633727167,-0.21968534425857483,-0.2374844797968253,,,False
565,0.017700436029955913,0.2011071149301816,-0.2301468685616574,-0.2478473045916133,,,False
567,0.017957234551855883,0.18562723344074417,-0.21402380160200368,-0.23198103615385957,,,False
569,0.01727741768707486,0.18985068707482952,-0.21901495285881595,-0.2362923705458908,,,False
571,0.0177124928511756,0.19958445112781886,-0.22866168862653424,-0.24637418147770984,,,False
573,0.01656655589628836,0.13597113175796555,-0.16425656181774576,-0.18082311771403412,,,False
575,0.017070195826470985,0.1977343623344069,-0.2273976367858942,-0.24446783261236518,,,False
577,0.01799627756414851,0.24749260615825205,-0.27765786337993265,-0.29565414094408116,0.0,0.01799627756414851,True
579,0.018582987952022928,0.19222888148943684,-0.22015164271773474,-0.23873463066975767,,,False
581,0.017506677222818956,0.19410147869674108,-0.22323707665656206,-0.24074375387938102,,,False
583,0.017810548413295185,0.19130683924095912,-0.2200457040977053,-0.23785625251100048,,,False
585,0.017910830409953504,0.18350362656641528,-0.21185394031544286,-0.22976477072539636,,,False
587,0.01800783283088686,0.18235853598281357,-0.21057161045323453,-0.2285794432841214,,,False
589,0.01633611080379524,0.17995126029359063,-0.2097689087060574,-0.22610501950985265,,,False
591,0.017825058159088303,0.18613071715001733,-0.21462485943536563,-0.23244991759445394,,,False
593,0.01686888576799145,0.28976787862513376,-0.32349681134228736,-0.3403656971102788,,,False
595,0.018143648677049817,0.2101800626566413,-0.23848582123794815,-0.25662946991499797,,,False
597,0.014891422043203345,0.19898913927676137,-0.2279892226423309,-0.24288064468553425,0.0,0.014891422043203345,True
599,0.01957575816207191,0.46172424668814854,-0.4959209873525473,-0.5154967455146192,,,False
601,0.027399728430600328,-0.007731679914070437,-0.004593245786763078,-0.031992974217363405,,,False
603,0.015713812476429168,0.2098628227712127,-0.24018342219274658,-0.25589723466917574,,,False
605,0.017807550646258552,0.1709404557823129,-0.19831158207253052,-0.21611913271878908,,,False
607,0.017393781775271566,0.24442749015395673,-0.27522958439566103,-0.2926233661709326,,,False
609,0.020940077018737346,0.16681675080558644,-0.1903816635012578,-0.21132174051999514,,,False
611,0.010905535488721835,0.11327870569280288,-0.14318562554924755,-0.15409116103796938,,,False
