cycle,j_forward_mAcm2,j_backward_mAcm2,delta_j_mAcm2
294,-0.016721716836734693,-0.04136310408163265,0.024641387244897957
295,-0.01659269336734694,-0.04147749132653061,0.024884797959183674
296,-0.016625636734693878,-0.0413313693877551,0.02470573265306122
297,-0.015126075510204081,-0.04140233979591837,0.026276264285714286
298,-0.016209654591836733,-0.041659745918367345,0.025450091326530613
299,-0.014983725,-0.041369228571428565,0.026385503571428565
300,-0.003770367857142857,-0.027485920918367348,0.02371555306122449
301,-0.019072002551020407,-0.04076613316326531,0.0216941306122449
302,-0.012273492857142857,-0.040920364285714286,0.02864687142857143
303,-0.013611573979591837,-0.04101009744897959,0.027398523469387755
304,-0.01581165612244898,-0.040908287244897965,0.025096631122448986
305,-0.0032444821428571427,-0.041388663775510204,0.03814418163265306
306,-0.02097472244897959,-0.04162895051020408,0.020654228061224487
307,-0.010078283673469388,-0.040712753571428575,0.030634469897959187
308,-0.01335813469387755,-0.04127319846938776,0.027915063775510212
309,-0.015476767857142857,-0.03987407653061225,0.02439730867346939
310,-0.017057875,-0.04111972908163266,0.02406185408163266
311,-0.0276384,-0.03906660102040816,0.01142820102040816
312,-0.018033913265306123,-0.04687506071428572,0.028841147448979594
313,-0.018215916836734694,-0.041284293367346944,0.02306837653061225
314,-0.028026673979591833,-0.04252464744897959,0.014497973469387755
315,-0.014222108163265306,-0.03135954489795918,0.017137436734693874
316,-0.013581557142857142,-0.03144150714285714,0.01785995
317,-0.02012797295918367,-0.043282406122448984,0.023154433163265313
318,-0.02226361275510204,-0.041122289285714285,0.018858676530612246
319,-0.020557098979591834,-0.041208919387755095,0.02065182040816326
320,-0.017740864285714288,-0.041162336224489796,0.023421471938775508
321,-0.01464595306122449,-0.04109524897959183,0.02644929591836734
322,-0.018668579591836734,-0.03476141683673469,0.01609283724489796
323,-0.007176917346938776,-0.041158600510204084,0.03398168316326531
324,-0.020785198469387756,-0.041111653061224496,0.02032645459183674
325,-0.013471437244897959,-0.038877378571428575,0.025405941326530616
326,-0.02215907551020408,-0.043392569387755105,0.021233493877551024
327,-0.016197527551020406,-0.0413098612244898,0.025112333673469392
328,-0.018319697959183673,-0.036381087244897956,0.018061389285714283
329,-0.015381539285714285,-0.04087155153061225,0.025490012244897962
330,-0.01664065918367347,-0.041047069387755104,0.024406410204081633
331,-0.0157937,-0.04095248775510204,0.02515878775510204
332,-0.03056620816326531,-0.04098185255102041,0.0104156443877551
333,-0.01793290969387755,-0.041222102551020406,0.023289192857142857
334,-0.019549094387755102,-0.04109760612244898,0.02154851173469388
335,-0.0238449806122449,-0.04136207448979591,0.017517093877551012
336,-0.017230676020408165,-0.044870123979591836,0.02763944795918367
337,-0.022385727551020407,-0.028394162755102044,0.0060084352040816365
338,-0.019816477040816325,-0.041305484183673476,0.02148900714285715
