global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1616,0,808,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,310,0,310,1.0092988,1.5999992,-0.2423385909455384,0.3630217015743256,-0.011121140040498577,,-0.7898195547930459,-0.7898195547930459
1617,0,808,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,351,351,0,0.99999946,1.5906698,-0.02842778712511063,0.6451462666351979,0.0574580891633031,3.1315325217637944,,3.1315325217637944
1618,0,809,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,307,0,307,1.0089009,1.5999019,-0.2412305476811439,0.3553578373120745,-0.012370652865104017,,-0.8059585590502547,-0.8059585590502547
1619,0,809,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,351,351,0,1.0000014,1.590654,-0.01567797346101345,0.6462138186826598,0.058055094821099856,3.128241842630491,,3.128241842630491
1620,0,810,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,311,0,311,1.0097988,1.6000172,-0.242480927311,0.3629007935523987,-0.01140775845196384,,-0.8131099382743388,-0.8131099382743388
1621,0,810,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,351,351,0,0.99999946,1.5915222,-0.007450120977804606,0.6390470096332468,0.0560662726562004,3.145591150994051,,3.145591150994051
1622,0,811,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,309,0,309,1.0082068,1.6000292,-0.2417690964759509,0.3651854991912842,-0.011369093146162171,,-0.8254799708126264,-0.8254799708126264
1623,0,811,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,349,349,0,1.0000057,1.5910783,-0.01146580643087093,0.6483577413038839,0.056950380801626135,3.1208300324656135,,3.1208300324656135
1624,0,812,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,307,0,307,1.0093111,1.6000352,-0.2428110773668557,0.3562578688497116,-0.011814391962131821,,-0.8338870852086678,-0.8338870852086678
1625,0,813,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,362,362,0,0.99998218,1.5916241,-0.009823645733829487,0.6447460509858001,0.054205012180590886,3.1337888366442805,,3.1337888366442805
1626,0,813,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,307,0,307,1.009527,1.5999223,-0.2434813021133628,0.3485037875481138,-0.012934577757830898,,-0.8463592936236541,-0.8463592936236541
1627,0,813,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,351,351,0,1.0000273,1.589873,-0.02529361844062805,0.6436348382740835,0.055613967524531044,3.0855667232213713,,3.0855667232213713
1628,0,814,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,309,0,309,1.0081989,1.5999532,-0.2430410371886707,0.3439356684684753,-0.012082328249444267,,-0.8518064655720955,-0.8518064655720955
1629,0,814,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,353,353,0,0.99999946,1.5902008,-0.00887642586593565,0.6437177110186827,0.056169736309874936,3.0846800157719922,,3.0846800157719922
1630,0,815,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,310,0,310,1.0090008,1.6000233,-0.2432446504249155,0.3368236066206638,-0.01232025839998537,,-0.8596523779536296,-0.8596523779536296
1631,0,815,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,364,364,0,1.0000013,1.5906442,-0.008789807558059692,0.6387484678003756,0.05499691237596721,3.09770115907469,,3.09770115907469
1632,0,816,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,300,0,300,1.0093848,1.5999869,-0.2424044165462322,0.3364060010228842,-0.013537107272996668,,-0.8671581698762688,-0.8671581698762688
1633,0,816,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,353,353,0,0.99998546,1.5900836,-0.01550396320248104,0.6397329455534919,0.055295450566601415,3.0792941536495464,,3.0792941536495464
1634,0,817,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0087669,1.5999591,-0.2430377552952558,0.3499964447248549,-0.013571735199403757,,-0.8716772906159861,-0.8716772906159861
1635,0,817,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,349,349,0,1.0000376,1.5902959,-0.01049867421902134,0.6379190753640724,0.05619017173756967,3.0824086442249303,,3.0824086442249303
1636,0,818,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.009009,1.5999094,-0.2431889767017302,0.3470881647533841,-0.013738463042822438,,-0.8796037326990811,-0.8796037326990811
1637,0,818,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,350,350,0,1.0000094,1.5910332,-0.01588661020682396,0.6409925220622191,0.05659685567693596,3.093617671365891,,3.093617671365891
1638,0,819,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,309,0,309,1.0087789,1.5999631,-0.2445163044348622,0.3325204268882149,-0.013866884168985894,,-0.8843911266473334,-0.8843911266473334
1639,0,819,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,340,340,0,0.99997962,1.5907642,-0.007415154948830605,0.6406707565391621,0.056526077919140265,3.090432671773888,,3.090432671773888
1640,0,820,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,307,0,307,1.0089109,1.5999112,-0.2438906410749737,0.3472317220135168,-0.013959909739595202,,-0.8894436115121946,-0.8894436115121946
1641,0,820,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,347,347,0,1.0000113,1.5899682,-0.01637129478520997,0.6388722909128006,0.059096555334086795,3.0672454975506205,,3.0672454975506205
1642,0,821,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,310,0,310,1.0095532,1.599946,-0.2438675775919237,0.3327729690957952,-0.014065706959085489,,-0.8949501224640657,-0.8949501224640657
1643,0,821,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,363,363,0,0.99995345,1.5911574,-0.02378369122743607,0.6351180521682771,0.05426875018763212,3.095717468082164,,3.095717468082164
1644,0,822,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,309,0,309,1.009107,1.6000012,-0.2428236177750371,0.3335116259429767,-0.01300626061254666,,-0.8932522986885099,-0.8932522986885099
1645,0,822,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,366,366,0,1.0000074,1.5912435,-0.0095025897026062,0.6367388549698294,0.0541213543183459,3.0921348538175155,,3.0921348538175155
1646,0,823,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,306,0,306,1.0096989,1.5999713,-0.2438998276461719,0.3316652146370513,-0.013075991598345636,,-0.9007545366566889,-0.9007545366566889
1647,0,823,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,359,359,0,0.99997157,1.5915761,-0.01140643232080973,0.6360356204580646,0.055676256619253746,3.1008817216982574,,3.1008817216982574
1648,0,824,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,311,0,311,1.0083028,1.6000413,-0.2457890172539967,0.3672983944416046,-0.012990917888775355,,-0.9083915389129346,-0.9083915389129346
1649,0,824,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,368,368,0,1.0000035,1.5910699,-0.01632894814500346,0.6324854096543291,0.054086896946803506,3.0805309727768226,,3.0805309727768226
1650,0,825,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,306,0,306,1.0082008,1.6000291,-0.2443981942094346,0.3510316610336304,-0.013127342907639958,,-0.9111971399903358,-0.9111971399903358
1651,0,825,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,363,363,0,1.0000014,1.590528,-0.01661837676985434,0.6361099396672225,0.055468442130610786,3.0667170346297423,,3.0667170346297423
1652,0,826,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,311,0,311,1.0085248,1.5999266,-0.2451083457592405,0.3287678852274603,-0.014455186090694284,,-0.9191633908187195,-0.9191633908187195
1653,0,826,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,356,356,0,0.99995136,1.5901583,-0.009167436099572213,0.6386797252844456,0.05505043004906529,3.064627493725027,,3.064627493725027
1654,0,827,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,306,0,306,1.0082029,1.5999871,-0.2452169153022874,0.3336210833943408,-0.013330824334510303,,-0.910682490621996,-0.910682490621996
